district,year,total_foreign_visitors,district_rank
MUMBAI,2009,1816987,1
PUNE,2009,267553,2
AURANGABAD,2009,129207,3
AHMEDNAGAR,2009,13039,4
THANE,2009,10710,5
NAGPUR,2009,8974,6
NASIK,2009,4964,7
CHANDRAPUR,2009,2462,8
RAIGHAD,2009,2272,9
NANDED,2009,1685,10
BULDHANA,2009,1653,11
SATARA,2009,1588,12
KOLHAPUR,2009,1519,13
SINDHUDURG,2009,1023,14
WARDHA,2009,415,15
MUMBAI,2010,1672447,1
PUNE,2010,287553,2
AURANGABAD,2010,117712,3
NAGPUR,2010,9754,4
THANE,2010,8548,5
AHMEDNAGAR,2010,7884,6
NASIK,2010,5064,7
SATARA,2010,4776,8
RAIGHAD,2010,3612,9
CHANDRAPUR,2010,2019,10
BULDHANA,2010,1688,11
NANDED,2010,1651,12
KOLHAPUR,2010,1536,13
SINDHUDURG,2010,1061,14
WARDHA,2010,579,15
