district,year,total_domestic_visitors,district_rank
MUMBAI,2009,29513263,1
AHMEDNAGAR,2009,12956574,2
PUNE,2009,7189040,3
AURANGABAD,2009,6011912,4
NAGPUR,2009,4820174,5
KOLHAPUR,2009,4719743,6
BEED,2009,4549514,7
OSMANABAD,2009,3904403,8
HINGOLI,2009,3561097,9
AMRAVATI,2009,3423371,10
NASIK,2009,3139792,11
SOLAPUR,2009,2930507,12
NANDED,2009,2578690,13
JALGAON,2009,2568641,14
NANDURBAR,2009,2398564,15
MUMBAI,2010,28691852,1
AHMEDNAGAR,2010,12921487,2
PUNE,2010,8779120,3
AURANGABAD,2010,7604422,4
KOLHAPUR,2010,5640754,5
BEED,2010,4344709,6
OSMANABAD,2010,4133013,7
SOLAPUR,2010,4113127,8
NAGPUR,2010,4013139,9
NASIK,2010,3366045,10
HINGOLI,2010,3121730,11
JALGAON,2010,3041302,12
NANDURBAR,2010,2360564,13
NANDED,2010,2269844,14
CHANDRAPUR,2010,2170627,15
