district,month,year,domestic_visitors,foreign_visitors
AHMEDNAGAR,January,2009,842236,1225
AHMEDNAGAR,February,2009,1104804,651
AHMEDNAGAR,March,2009,1280891,401
AHMEDNAGAR,April,2009,928765,488
AHMEDNAGAR,May,2009,1349143,1684
AHMEDNAGAR,June,2009,1367555,787
AHMEDNAGAR,July,2009,1345052,1109
AHMEDNAGAR,August,2009,746492,1074
AHMEDNAGAR,Sep,2009,784985,1065
AHMEDNAGAR,October,2009,1061100,810
AHMEDNAGAR,Nov,2009,899533,1973
AHMEDNAGAR,Dec,2009,1246018,1772
AKOLA,January,2009,9049,38
AKOLA,February,2009,10917,23
AKOLA,March,2009,8337,0
AKOLA,April,2009,7201,0
AKOLA,May,2009,18325,0
AKOLA,June,2009,8819,0
AKOLA,July,2009,17593,0
AKOLA,August,2009,3780,0
AKOLA,Sep,2009,7043,10
AKOLA,October,2009,17906,5
AKOLA,Nov,2009,8083,0
AKOLA,Dec,2009,18229,15
AMRAVATI,January,2009,118189,4
AMRAVATI,February,2009,119816,3
AMRAVATI,March,2009,111190,2
AMRAVATI,April,2009,99048,2
AMRAVATI,May,2009,101631,12
AMRAVATI,June,2009,779018,9
AMRAVATI,July,2009,796797,0
AMRAVATI,August,2009,798114,0
AMRAVATI,Sep,2009,181860,0
AMRAVATI,October,2009,105777,0
AMRAVATI,Nov,2009,105789,0
AMRAVATI,Dec,2009,106142,0
AURANGABAD,January,2009,933745,3067
AURANGABAD,February,2009,886658,3621
AURANGABAD,March,2009,838835,5959
AURANGABAD,April,2009,205020,3687
AURANGABAD,May,2009,18100,6822
AURANGABAD,June,2009,89399,12411
AURANGABAD,July,2009,53905,23775
AURANGABAD,August,2009,196632,15181
AURANGABAD,Sep,2009,591533,25696
AURANGABAD,October,2009,734309,12102
AURANGABAD,Nov,2009,711813,10154
AURANGABAD,Dec,2009,751963,6732
BEED,January,2009,791133,5
BEED,February,2009,655833,18
BEED,March,2009,701947,8
BEED,April,2009,604295,66
BEED,May,2009,639341,78
BEED,June,2009,625323,40
BEED,July,2009,8545,0
BEED,August,2009,10360,0
BEED,Sep,2009,14326,0
BEED,October,2009,45901,0
BEED,Nov,2009,194620,28
BEED,Dec,2009,257890,12
BHANDARA,January,2009,7150,0
BHANDARA,February,2009,9925,16
BHANDARA,March,2009,14566,3
BHANDARA,April,2009,15462,2
BHANDARA,May,2009,5588,5
BHANDARA,June,2009,5712,0
BHANDARA,July,2009,5856,0
BHANDARA,August,2009,129088,0
BHANDARA,Sep,2009,88934,0
BHANDARA,October,2009,103979,0
BHANDARA,Nov,2009,16374,14
BHANDARA,Dec,2009,7845,20
BULDHANA,January,2009,252634,10
BULDHANA,February,2009,201724,141
BULDHANA,March,2009,155909,178
BULDHANA,April,2009,178118,35
BULDHANA,May,2009,131956,90
BULDHANA,June,2009,160947,129
BULDHANA,July,2009,90365,244
BULDHANA,August,2009,84061,190
BULDHANA,Sep,2009,57286,204
BULDHANA,October,2009,147115,126
BULDHANA,Nov,2009,176412,162
BULDHANA,Dec,2009,173634,144
CHANDRAPUR,January,2009,229372,0
CHANDRAPUR,February,2009,211365,85
CHANDRAPUR,March,2009,214596,25
CHANDRAPUR,April,2009,193786,390
CHANDRAPUR,May,2009,205510,526
CHANDRAPUR,June,2009,195228,305
CHANDRAPUR,July,2009,200137,172
CHANDRAPUR,August,2009,232097,226
CHANDRAPUR,Sep,2009,103779,121
CHANDRAPUR,October,2009,190497,310
CHANDRAPUR,Nov,2009,191423,117
CHANDRAPUR,Dec,2009,185277,185
DHULE,January,2009,8490,0
DHULE,February,2009,7618,0
DHULE,March,2009,7010,0
DHULE,April,2009,6721,0
DHULE,May,2009,2279,3
DHULE,June,2009,9465,9
DHULE,July,2009,747,0
DHULE,August,2009,5798,0
DHULE,Sep,2009,5659,0
DHULE,October,2009,12012,0
DHULE,Nov,2009,9213,8
DHULE,Dec,2009,10220,11
GADCHIROLI,January,2009,1475,2
GADCHIROLI,February,2009,1087,12
GADCHIROLI,March,2009,968,0
GADCHIROLI,April,2009,826,0
GADCHIROLI,May,2009,1114,0
GADCHIROLI,June,2009,1211,0
GADCHIROLI,July,2009,10780,0
GADCHIROLI,August,2009,9919,0
GADCHIROLI,Sep,2009,7832,0
GADCHIROLI,October,2009,13934,26
GADCHIROLI,Nov,2009,8783,9
GADCHIROLI,Dec,2009,11058,16
GONDIA,January,2009,136764,0
GONDIA,February,2009,113880,22
GONDIA,March,2009,110075,0
GONDIA,April,2009,97569,0
GONDIA,May,2009,103513,4
GONDIA,June,2009,99391,7
GONDIA,July,2009,11725,9
GONDIA,August,2009,208125,0
GONDIA,Sep,2009,62206,0
GONDIA,October,2009,113437,18
GONDIA,Nov,2009,109457,0
GONDIA,Dec,2009,128015,21
HINGOLI,January,2009,341223,0
HINGOLI,February,2009,450545,0
HINGOLI,March,2009,258991,0
HINGOLI,April,2009,365020,0
HINGOLI,May,2009,390823,0
HINGOLI,June,2009,354638,0
HINGOLI,July,2009,14167,0
HINGOLI,August,2009,302972,0
HINGOLI,Sep,2009,276305,0
HINGOLI,October,2009,266593,0
HINGOLI,Nov,2009,263714,0
HINGOLI,Dec,2009,276106,0
JALGAON,January,2009,171932,0
JALGAON,February,2009,132927,0
JALGAON,March,2009,212737,0
JALGAON,April,2009,197935,0
JALGAON,May,2009,197498,4
JALGAON,June,2009,258495,13
JALGAON,July,2009,37774,0
JALGAON,August,2009,288455,34
JALGAON,Sep,2009,222767,27
JALGAON,October,2009,278052,19
JALGAON,Nov,2009,300584,8
JALGAON,Dec,2009,269485,31
JALNA,January,2009,181686,0
JALNA,February,2009,249531,0
JALNA,March,2009,195608,0
JALNA,April,2009,182101,0
JALNA,May,2009,152231,0
JALNA,June,2009,160179,0
JALNA,July,2009,52939,0
JALNA,August,2009,64974,0
JALNA,Sep,2009,36202,0
JALNA,October,2009,37107,0
JALNA,Nov,2009,109193,0
JALNA,Dec,2009,115282,0
KOLHAPUR,January,2009,433815,0
KOLHAPUR,February,2009,383685,0
KOLHAPUR,March,2009,344484,0
KOLHAPUR,April,2009,323188,30
KOLHAPUR,May,2009,345177,45
KOLHAPUR,June,2009,338728,22
KOLHAPUR,July,2009,74938,226
KOLHAPUR,August,2009,599092,165
KOLHAPUR,Sep,2009,441171,204
KOLHAPUR,October,2009,490884,188
KOLHAPUR,Nov,2009,455010,325
KOLHAPUR,Dec,2009,489571,314
LATUR,January,2009,24314,0
LATUR,February,2009,18609,0
LATUR,March,2009,12614,0
LATUR,April,2009,16075,0
LATUR,May,2009,20004,0
LATUR,June,2009,16011,0
LATUR,July,2009,0,0
LATUR,August,2009,0,0
LATUR,Sep,2009,589,0
LATUR,October,2009,372,0
LATUR,Nov,2009,210,10
LATUR,Dec,2009,145,5
MUMBAI,January,2009,2917644,99702
MUMBAI,February,2009,2619021,81967
MUMBAI,March,2009,2898980,89935
MUMBAI,April,2009,2472123,106902
MUMBAI,May,2009,2608030,115807
MUMBAI,June,2009,2524053,166180
MUMBAI,July,2009,1762909,178452
MUMBAI,August,2009,1686111,156735
MUMBAI,Sep,2009,1845983,248531
MUMBAI,October,2009,2493446,193712
MUMBAI,Nov,2009,2929456,256855
MUMBAI,Dec,2009,2755507,122209
NAGPUR,January,2009,524738,864
NAGPUR,February,2009,496482,339
NAGPUR,March,2009,483817,490
NAGPUR,April,2009,528010,457
NAGPUR,May,2009,644692,161
NAGPUR,June,2009,512352,506
NAGPUR,July,2009,90200,738
NAGPUR,August,2009,394612,571
NAGPUR,Sep,2009,343353,480
NAGPUR,October,2009,368089,1453
NAGPUR,Nov,2009,35976,1309
NAGPUR,Dec,2009,397853,1606
NANDURBAR,January,2009,267602,0
NANDURBAR,February,2009,234239,0
NANDURBAR,March,2009,191112,0
NANDURBAR,April,2009,174365,0
NANDURBAR,May,2009,203008,0
NANDURBAR,June,2009,197240,0
NANDURBAR,July,2009,26807,0
NANDURBAR,August,2009,207842,0
NANDURBAR,Sep,2009,192112,8
NANDURBAR,October,2009,187991,19
NANDURBAR,Nov,2009,269313,12
NANDURBAR,Dec,2009,246933,10
NASIK,January,2009,335351,22
NASIK,February,2009,293217,0
NASIK,March,2009,284105,21
NASIK,April,2009,273388,17
NASIK,May,2009,293482,28
NASIK,June,2009,273388,93
NASIK,July,2009,126633,451
NASIK,August,2009,299506,656
NASIK,Sep,2009,195960,948
NASIK,October,2009,330459,569
NASIK,Nov,2009,258844,1037
NASIK,Dec,2009,175459,1122
NANDED,January,2009,292218,116
NANDED,February,2009,326747,1
NANDED,March,2009,389802,198
NANDED,April,2009,310488,290
NANDED,May,2009,342147,313
NANDED,June,2009,330375,249
NANDED,July,2009,93277,19
NANDED,August,2009,47789,22
NANDED,Sep,2009,36898,21
NANDED,October,2009,83130,87
NANDED,Nov,2009,141864,136
NANDED,Dec,2009,183955,233
OSMANABAD,January,2009,396216,12
OSMANABAD,February,2009,375914,6
OSMANABAD,March,2009,320307,0
OSMANABAD,April,2009,353266,0
OSMANABAD,May,2009,356533,15
OSMANABAD,June,2009,398812,93
OSMANABAD,July,2009,125803,30
OSMANABAD,August,2009,9332,25
OSMANABAD,Sep,2009,293400,19
OSMANABAD,October,2009,512079,3
OSMANABAD,Nov,2009,400291,17
OSMANABAD,Dec,2009,362450,29
PARBHANI,January,2009,85611,0
PARBHANI,February,2009,89256,0
PARBHANI,March,2009,91223,0
PARBHANI,April,2009,84094,5
PARBHANI,May,2009,57951,0
PARBHANI,June,2009,85956,0
PARBHANI,July,2009,11891,0
PARBHANI,August,2009,19095,0
PARBHANI,Sep,2009,72123,0
PARBHANI,October,2009,64742,0
